date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,initial_soc_kwh,terminal_soc_kwh
2025-04-07,59524.45375809542,61055.283754068616,1530.8299959731978,0.0,19993.145142922345,15752.485569293056,0.0,3571.9048971059988,35284.7023840352,1689.5506552564632,0.0,36974.25303929167,6055.607131987557,6546.676016958719
2025-04-08,68193.62644133155,68273.20647778668,79.58003645512031,0.0,19138.915759178773,15816.930667786459,0.0,10598.027769727694,41116.84378861883,118.5318561261808,0.0,41235.375644745014,6546.676016958719,6197.332791567999
2025-04-09,66629.76539674446,68209.80692164725,1580.0415249027794,0.0,20748.5664615117,16605.655708366314,0.0,4932.585151835197,39893.019007285955,1244.0150711404983,0.0,41137.034078426455,6197.332791567999,6420.314042077066
2025-04-10,64670.45323050995,65692.565564571,1022.1123340610509,0.0,20189.37808787852,16266.848184613715,0.0,7309.397761306199,39279.33784655179,738.016983799314,0.0,40017.354830351105,6420.314042077066,6516.478560485823
2025-04-11,27681.087055844873,27837.870848261893,156.78379241701674,0.0,16361.308830398288,13372.51349227196,0.0,19532.425343468898,13725.896943588103,258.8701216151162,0.0,13984.76706520322,6516.478560485823,6383.3081830976535
2025-04-12,29514.98409203069,29525.426718098395,10.442626067707295,0.0,15378.828530192362,12253.373189588234,0.0,17374.810827494268,15077.517011959726,19.150731945568406,0.0,15096.667743905295,6383.3081830976535,6609.3947607283
2025-04-13,61999.68504889129,62127.9689424863,128.28389359501102,0.0,19628.1699010908,16008.863389470487,0.0,4232.303947532658,36956.52457701256,136.6231361068691,0.0,37093.14771311943,6609.3947607283,6487.121683409481
2025-04-14,65344.132091039515,65344.132091039515,0.0,0.0,18308.816574584936,15073.24083018229,0.0,9580.524546636874,39430.55651863286,0.0,0.0,39430.55651863286,6487.121683409481,6217.011233666717
2025-04-15,57337.35647347691,59149.7614138971,1812.404940420188,0.0,19364.871101220306,15461.487362044094,0.0,5106.948841387553,33992.036436494316,1907.1421583656243,0.0,35899.17859485994,6217.011233666717,6465.964822493782
2025-04-16,63972.22118442879,64809.68525596407,837.4640715352803,0.0,19084.586246472696,15589.463607582466,0.0,5534.970667073842,37558.998822663845,1122.0724871458883,0.0,38681.07130980973,6465.964822493782,6320.466213672022
