date,plan_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,charge_kwh,discharge_kwh,plan_cost_yuan,adjustment_cost_yuan,ordinary_settlement_cost_yuan,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
2025-06-03,68261.41904437928,68261.41904437928,0.0,0.0,4534.700246813898,22205.102517290805,17838.434996797216,40631.38158920097,0.0,40631.38158920097,29541.004981979993,70172.38657118096,4710.9038701759255,4875.012805962964
2025-06-04,79098.08457032236,79098.08457032236,0.0,0.0,2261.9967077777806,21001.763650195462,17060.5094925,47947.779097209714,0.0,47947.779097209714,14410.635580512659,62358.41467772237,4875.012805962964,4820.478432805557
2025-06-05,69033.15445699588,69033.15445699588,0.0,0.0,6897.829103144446,21644.38104949588,17320.678305466667,40721.79766199895,0.0,40721.79766199895,43909.34530999017,84631.14297198912,4820.478432805557,5055.223260166667
2025-06-06,77472.90480574759,77472.90480574759,0.0,0.0,0.0,15607.099273611102,7503.268150000001,47516.874821709695,0.0,47516.874821709695,0.0,47516.874821709695,5055.223260166667,10764.647995305555
2025-06-07,76480.76237802126,76480.76237802126,0.0,0.0,0.0,8394.661709053498,6943.030766666668,48297.49325354407,0.0,48297.49325354407,0.0,48297.49325354407,10764.647995305555,10605.364903824075
2025-06-08,61816.51646587448,61816.51646587448,0.0,0.0,3875.6003516666715,13803.070559176946,15969.502418333333,38043.81506516225,0.0,38043.81506516225,25436.186834480857,63480.0018996431,10605.364903824075,5284.236831157408
2025-06-09,78584.67905279968,78584.67905279968,0.0,0.0,548.3576172222204,22250.428955390937,17607.750745,48417.2961750909,0.0,48417.2961750909,3686.7946544501265,52104.090829541026,5284.236831157408,5745.455396564815
2025-06-10,73096.03687598766,73096.03687598766,0.0,0.0,2578.2240406305555,21185.641817654323,17192.675428258335,44773.79663978965,0.0,44773.79663978965,16835.614091894364,61609.410731684016,5745.455396564815,5709.560334388888
2025-06-11,79137.02859203864,79137.02859203864,0.0,0.0,1738.8033521777752,24024.28788318586,19319.05304924722,49545.832570411396,0.0,49545.832570411396,8740.075897800914,58285.90846821231,5709.560334388888,5865.804930092592
2025-06-12,77404.40489576379,77404.40489576379,0.0,0.0,691.2674334916721,22626.984854307266,17998.792191197215,47915.36330857495,0.0,47915.36330857495,4731.591971536347,52646.9552801113,5865.804930092592,6231.43330875
2025-06-13,77964.0089808852,77964.0089808852,0.0,0.0,0.0,13430.31711270576,6766.846839166666,48547.11725098461,0.0,48547.11725098461,0.0,48547.11725098461,6231.43330875,10800.0
2025-06-14,74007.12923018861,74007.12923018861,0.0,0.0,0.0,8854.00883436214,7171.747155833333,46492.52684215833,0.0,46492.52684215833,0.0,46492.52684215833,10800.0,10800.0
2025-06-15,66308.32260702674,66308.32260702674,0.0,0.0,3541.658978349997,13961.05955197874,15661.857694427783,42165.39523810993,0.0,42165.39523810993,24052.988793128417,66218.38403123835,10800.0,5962.889491861111
2025-06-16,75196.1007724794,75196.1007724794,0.0,0.0,2319.99034400278,22349.33429247942,17880.350778775,46473.7251889171,0.0,46473.7251889171,14372.205395956233,60845.930584873335,5962.889491861111,6210.233934231482
2025-06-17,76479.69090182098,76479.69090182098,0.0,0.0,2350.845947030559,21398.57712281893,17614.413628525,47593.58451936618,0.0,47593.58451936618,15955.858089435125,63549.442608801306,6210.233934231482,5897.382646407406
2025-06-18,77106.80328500342,77106.80328500342,0.0,0.0,31.23389333333322,22341.590093436207,17921.108760000003,47586.64071076315,0.0,47586.64071076315,210.69405880666594,47797.33476956982,5897.382646407406,6092.470663833333
2025-06-19,72573.6608726886,72573.6608726886,0.0,0.0,2310.591951785466,20138.671251210555,16150.722165988886,44404.22590574389,0.0,44404.22590574389,15591.232896528085,59995.458802271976,6092.470663833333,6272.027938824073
2025-06-20,74616.55352752743,74616.55352752743,0.0,0.0,0.0,13316.412938343617,6711.119625,45949.91946087485,0.0,45949.91946087485,0.0,45949.91946087485,6272.027938824073,10800.0
