date,slot,time_interval,day_type,load_forecast_kw,pv_forecast_kw,pv_mean3_forecast_kw,net_forecast_kw,reserve_requirement_kw
2025-04-05,134,22:20-22:30,holiday,2399.8291015625,0.0,0.0,2399.8291015625,96.94625585937484
2025-04-05,135,22:30-22:40,holiday,2378.857421875,0.0,0.0,2378.857421875,142.7917867187501
2025-04-05,136,22:40-22:50,holiday,2386.373779296875,0.0,0.0,2386.373779296875,139.1170230468749
2025-04-05,137,22:50-23:00,holiday,2398.76171875,0.0,0.0,2398.76171875,90.72329296874999
2025-04-05,138,23:00-23:10,holiday,2416.337158203125,0.0,0.0,2416.337158203125,63.59396851562491
2025-04-05,139,23:10-23:20,holiday,2397.000244140625,0.0,0.0,2397.000244140625,74.15104523437505
2025-04-05,140,23:20-23:30,holiday,2393.8115234375,0.0,0.0,2393.8115234375,135.89836523437506
2025-04-05,141,23:30-23:40,holiday,2444.4658203125,0.0,0.0,2444.4658203125,134.62347140625
2025-04-05,142,23:40-23:50,holiday,2456.80810546875,0.0,0.0,2456.80810546875,110.6534903124999
2025-04-05,143,23:50-24:00,holiday,3224.81640625,0.0,0.0,3224.81640625,105.6603242187499
2025-04-06,0,00:00-00:10,holiday,3326.020751953125,0.0,0.0,3326.020751953125,107.60208695312495
2025-04-06,1,00:10-00:20,holiday,3307.34326171875,0.0,0.0,3307.34326171875,121.92947046875007
2025-04-06,2,00:20-00:30,holiday,3298.747314453125,0.0,0.0,3298.747314453125,131.0924277343749
2025-04-06,3,00:30-00:40,holiday,3298.6142578125,0.0,0.0,3298.6142578125,66.06300406250004
2025-04-06,4,00:40-00:50,holiday,3299.371826171875,0.0,0.0,3299.371826171875,73.13663992187513
2025-04-06,5,00:50-01:00,holiday,3267.34521484375,0.0,0.0,3267.34521484375,147.9893769531251
2025-04-06,6,01:00-01:10,holiday,3245.102783203125,0.0,0.0,3245.102783203125,96.04992507812514
2025-04-06,7,01:10-01:20,holiday,3242.732421875,0.0,0.0,3242.732421875,145.28459257812497
2025-04-06,8,01:20-01:30,holiday,3285.41162109375,0.0,0.0,3285.41162109375,125.85277929687506
2025-04-06,9,01:30-01:40,holiday,3317.10205078125,0.0,0.0,3317.10205078125,97.47904656249986
2025-04-06,10,01:40-01:50,holiday,3363.829345703125,0.0,0.0,3363.829345703125,131.478960390625
2025-04-06,11,01:50-02:00,holiday,3371.1875,0.0,0.0,3371.1875,148.30796484375006
2025-04-06,12,02:00-02:10,holiday,3357.857421875,0.0,0.0,3357.857421875,171.49367828124997
2025-04-06,13,02:10-02:20,holiday,3378.72021484375,0.0,0.0,3378.72021484375,123.10566265625015
2025-04-06,14,02:20-02:30,holiday,3542.452880859375,0.0,0.0,3542.452880859375,111.23543164062512
2025-04-06,15,02:30-02:40,holiday,3465.636474609375,0.0,0.0,3465.636474609375,116.56635718749997
2025-04-06,16,02:40-02:50,holiday,3401.059326171875,0.0,0.0,3401.059326171875,144.95142617187506
2025-04-06,17,02:50-03:00,holiday,3391.695068359375,0.0,0.0,3391.695068359375,112.25550390624986
2025-04-06,18,03:00-03:10,holiday,3413.016357421875,0.0,0.0,3413.016357421875,129.868485625
2025-04-06,19,03:10-03:20,holiday,3469.73095703125,0.0,0.0,3469.73095703125,123.19566148437494
2025-04-06,20,03:20-03:30,holiday,3595.692138671875,0.0,0.0,3595.692138671875,92.69445117187519
2025-04-06,21,03:30-03:40,holiday,3671.8515625,0.0,0.0,3671.8515625,120.56262937500007
2025-04-06,22,03:40-03:50,holiday,3486.6064453125,0.0,0.0012333333333333335,3486.6064453125,124.15933171874995
2025-04-06,23,03:50-04:00,holiday,3415.593994140625,0.0,0.0,3415.593994140625,138.48515234375003
2025-04-06,24,04:00-04:10,holiday,3693.9443359375,0.0,0.0,3693.9443359375,127.6206701562499
2025-04-06,25,04:10-04:20,holiday,3625.066650390625,0.0,0.017166666666666667,3625.066650390625,106.32600085937486
2025-04-06,26,04:20-04:30,holiday,3392.9189453125,0.0,0.0,3392.9189453125,142.3316171875001
2025-04-06,27,04:30-04:40,holiday,3568.325439453125,0.0,0.0,3568.325439453125,148.25906937500005
2025-04-06,28,04:40-04:50,holiday,3598.47021484375,0.0,0.23929999999999998,3598.47021484375,126.29271007812511
2025-04-06,29,04:50-05:00,holiday,3521.651123046875,0.0,0.0,3521.651123046875,117.72205664062503
2025-04-06,30,05:00-05:10,holiday,3645.10400390625,0.0,0.0,3645.10400390625,129.09064195312496
2025-04-06,31,05:10-05:20,holiday,3659.609619140625,36.99893593632305,3.3328666666666664,3622.610683204302,141.44953406823944
2025-04-06,32,05:20-05:30,holiday,3663.309326171875,0.0,0.0,3663.309326171875,118.36500000000007
2025-04-06,33,05:30-05:40,holiday,3383.914306640625,56.9832444486583,0.0,3326.9310621919667,154.20584847756194
2025-04-06,34,05:40-05:50,holiday,3729.002685546875,109.10918416763889,55.816100000000006,3619.893501379236,165.64293346738992
2025-04-06,35,05:50-06:00,holiday,4371.0869140625,260.45926001447197,253.67500000000004,4110.6276540480285,194.48836718749993
2025-04-06,36,06:00-06:10,holiday,4442.41943359375,496.6036671660845,509.0443,3945.8157664276655,205.83220083774324
2025-04-06,37,06:10-06:20,holiday,4446.74169921875,778.6548211333477,788.4759333333333,3668.0868780854025,126.65905560032881
2025-04-06,38,06:20-06:30,holiday,4371.77734375,1073.522324825658,1077.1875,3298.255018924342,187.92205778953723
2025-04-06,39,06:30-06:40,holiday,4361.43994140625,1377.5561237496793,1370.0750666666665,2983.8838176565705,185.04433723753348
2025-04-06,40,06:40-06:50,holiday,4349.90966796875,1696.2417986290861,1663.770166666667,2653.667869339664,155.35319586813827
2025-04-06,41,06:50-07:00,holiday,4324.97216796875,2016.4890209148184,1962.825,2308.4831470539316,200.72716508777373
2025-04-06,42,07:00-07:10,holiday,4336.61279296875,2321.1247815245515,2269.8710666666666,2015.4880114441985,213.82973014808505
2025-04-06,43,07:10-07:20,holiday,4353.48681640625,2615.838551439215,2553.159,1737.6482649670352,145.46039543639682
2025-04-06,44,07:20-07:30,holiday,4329.1611328125,2930.909301240539,2855.525,1398.2518315719608,168.0175498745899
2025-04-06,45,07:30-07:40,holiday,4324.33203125,3289.8041882732728,3240.7926,1034.5278429767272,258.4924266976146
2025-04-06,46,07:40-07:50,holiday,5334.16259765625,3602.3777439104388,3534.5699666666665,1731.7848537458112,226.80715397826444
2025-04-06,47,07:50-08:00,holiday,6343.49267578125,3867.7760884642094,3749.8125,2475.7165873170406,297.62885318153224
2025-04-06,48,08:00-08:10,holiday,6393.59765625,4168.87175218299,4069.5935333333327,2224.7259040670097,352.26732814633687
2025-04-06,49,08:10-08:20,holiday,6208.35498046875,4477.062474249724,4372.145066666667,1731.292506219026,308.4679313344927
2025-04-06,50,08:20-08:30,holiday,6296.15576171875,4767.603653584884,4592.162499999999,1528.5521081338657,266.5602087061796
2025-04-06,51,08:30-08:40,holiday,6183.6455078125,5026.157386144989,4801.213966666667,1157.4881216675112,286.30378739470177
2025-04-06,52,08:40-08:50,holiday,6257.5234375,5273.116153547847,5072.8812333333335,984.4072839521532,361.2176513729877
2025-04-06,53,08:50-09:00,holiday,6397.80859375,5545.4490705561675,5391.3125,852.3595231938325,363.75593416429194
2025-04-06,54,09:00-09:10,holiday,6444.43408203125,5851.343561320058,5686.325866666666,593.0905207111919,396.1313429372649
2025-04-06,55,09:10-09:20,holiday,6378.419921875,6181.320508165931,6019.688333333334,197.09941370906927,327.7235077064464
2025-04-06,56,09:20-09:30,holiday,6475.01953125,6476.1410576314465,6384.099999999999,-1.1215263814465288,379.7515574206523
2025-04-06,57,09:30-09:40,holiday,6373.4609375,6684.2066258027735,6683.971533333333,-310.7456883027735,470.5850019255007
2025-04-06,58,09:40-09:50,holiday,6365.30419921875,6847.034152304513,6884.620366666667,-481.72995308576265,588.5463723338753
2025-04-06,59,09:50-10:00,holiday,6387.208984375,7016.4549546340695,7012.287499999999,-629.2459702590695,588.5528113488188
2025-04-06,60,10:00-10:10,holiday,6266.80126953125,7209.843821634822,7146.729633333333,-943.0425521035722,467.82831761070287
2025-04-06,61,10:10-10:20,holiday,6200.0810546875,7428.165689615918,7391.852033333334,-1228.0846349284184,576.0127977611851
