variant,date,issue_datetime,issue_hour,first_target_end,last_target_end,soc_measured_kwh,planned_terminal_kwh,milp_gap,price_mode,radius_scale,nominal_horizon_proxy_cost_yuan,box_worst_horizon_proxy_cost_yuan,q2_pv_history_only,load_history_through_date
4-3,2025-04-29,2025-04-29 00:00:00,0,2025-04-29 00:10:00,2025-04-30 00:00:00,6581.635992916042,6000.0,0.0,forecast,1.0,33480.694670776094,36898.703075433965,False,2025-04-28
4-3,2025-04-29,2025-04-29 06:00:00,6,2025-04-29 06:10:00,2025-04-30 06:00:00,9554.975960655527,6000.0,0.0,forecast,1.0,33202.925802509984,36491.1024199329,False,2025-04-28
4-3,2025-04-29,2025-04-29 12:00:00,12,2025-04-29 12:10:00,2025-04-30 12:00:00,9458.603079729603,6000.0,0.0,forecast,1.0,36788.977453646745,40660.10939805603,False,2025-04-28
4-3,2025-04-29,2025-04-29 18:00:00,18,2025-04-29 18:10:00,2025-04-30 18:00:00,10800.0,6000.0,2.661168690165143e-16,forecast,1.0,37801.05428099533,42322.08010254618,False,2025-04-28
4-3,2025-04-30,2025-04-30 00:00:00,0,2025-04-30 00:10:00,2025-05-01 00:00:00,6488.455720713545,6000.0,0.0,forecast,1.0,32509.408197074208,35630.727192766106,False,2025-04-29
4-3,2025-04-30,2025-04-30 06:00:00,6,2025-04-30 06:10:00,2025-05-01 06:00:00,8893.436451904903,6000.0,0.0,forecast,1.0,31830.725427966023,34944.56233730608,False,2025-04-29
4-3,2025-04-30,2025-04-30 12:00:00,12,2025-04-30 12:10:00,2025-05-01 12:00:00,6958.1957794975,6000.0,9.940188046844447e-16,forecast,1.0,34592.40083018957,38098.25414327862,False,2025-04-29
4-3,2025-04-30,2025-04-30 18:00:00,18,2025-04-30 18:10:00,2025-05-01 18:00:00,10800.0,6000.0,2.133048955553612e-16,forecast,1.0,28847.55020978763,31879.92204855271,False,2025-04-29
4-3,2025-05-01,2025-05-01 00:00:00,0,2025-05-01 00:10:00,2025-05-02 00:00:00,6423.572884339602,6000.0,0.0,forecast,1.0,32730.004888246138,36031.171240259486,False,2025-04-30
4-3,2025-05-01,2025-05-01 06:00:00,6,2025-05-01 06:10:00,2025-05-02 06:00:00,8926.004275654515,6000.0,7.682669381320467e-16,forecast,1.0,30231.183881985617,33448.539852178204,False,2025-04-30
4-3,2025-05-01,2025-05-01 12:00:00,12,2025-05-01 12:10:00,2025-05-02 12:00:00,7350.101283721166,6000.0,5.906230728812478e-16,forecast,1.0,32388.328225737267,36296.36057441854,False,2025-04-30
4-3,2025-05-01,2025-05-01 18:00:00,18,2025-05-01 18:10:00,2025-05-02 18:00:00,10478.970585792824,6000.0,0.0,forecast,1.0,31144.629969009013,36095.2377000356,False,2025-04-30
4-3,2025-05-02,2025-05-02 00:00:00,0,2025-05-02 00:10:00,2025-05-03 00:00:00,5203.075623493345,6000.0,0.0,forecast,1.0,11311.274683107717,13050.21319771521,False,2025-05-01
4-3,2025-05-02,2025-05-02 06:00:00,6,2025-05-02 06:10:00,2025-05-03 06:00:00,3681.896682941407,6000.0,0.0,forecast,1.0,12239.543843521158,14151.540485684904,False,2025-05-01
4-3,2025-05-02,2025-05-02 12:00:00,12,2025-05-02 12:10:00,2025-05-03 12:00:00,10800.0,6000.0,3.462810320519547e-16,forecast,1.0,10989.213938580553,12641.590048446873,False,2025-05-01
4-3,2025-05-02,2025-05-02 18:00:00,18,2025-05-02 18:10:00,2025-05-03 18:00:00,10329.522222222222,6000.0,5.996473353790757e-16,forecast,1.0,10519.672750046793,12143.379282953149,False,2025-05-01
4-3,2025-05-03,2025-05-03 00:00:00,0,2025-05-03 00:10:00,2025-05-04 00:00:00,5659.770392942998,6000.0,0.0,forecast,1.0,10834.393361474788,12489.220985422684,False,2025-05-02
4-3,2025-05-03,2025-05-03 06:00:00,6,2025-05-03 06:10:00,2025-05-04 06:00:00,3506.998418397329,6000.0,0.0,forecast,1.0,13211.569784650732,15045.549631105245,False,2025-05-02
4-3,2025-05-03,2025-05-03 12:00:00,12,2025-05-03 12:10:00,2025-05-04 12:00:00,10800.0,6000.0,2.969783967636118e-16,forecast,1.0,11641.571913760417,13248.580475220451,False,2025-05-02
4-3,2025-05-03,2025-05-03 18:00:00,18,2025-05-03 18:10:00,2025-05-04 18:00:00,10373.88619836516,6000.0,0.0,forecast,1.0,10957.772361022853,12481.822925802491,False,2025-05-02
4-3,2025-05-04,2025-05-04 00:00:00,0,2025-05-04 00:10:00,2025-05-05 00:00:00,5803.590113660879,6000.0,0.0,forecast,1.0,34894.69669651272,38765.6834181244,False,2025-05-03
4-3,2025-05-04,2025-05-04 06:00:00,6,2025-05-04 06:10:00,2025-05-05 06:00:00,10061.642171542106,6000.0,1.9817396006485086e-15,forecast,1.0,33452.69976347851,37100.26844374652,False,2025-05-03
4-3,2025-05-04,2025-05-04 12:00:00,12,2025-05-04 12:10:00,2025-05-05 12:00:00,9659.222152025135,6000.0,4.935917115848853e-16,forecast,1.0,36253.249243732775,40168.978480028054,False,2025-05-03
4-3,2025-05-04,2025-05-04 18:00:00,18,2025-05-04 18:10:00,2025-05-05 18:00:00,10721.314530632715,6000.0,2.278909744793167e-16,forecast,1.0,41541.02305981971,46685.00729535744,False,2025-05-03
4-3,2025-05-05,2025-05-05 00:00:00,0,2025-05-05 00:10:00,2025-05-06 00:00:00,5542.637955542245,6000.0,0.0,forecast,1.0,37422.10384734842,41391.381195339956,False,2025-05-04
4-3,2025-05-05,2025-05-05 06:00:00,6,2025-05-05 06:10:00,2025-05-06 06:00:00,10076.556018518519,6000.0,0.0,forecast,1.0,35212.103943287904,38922.655529672964,False,2025-05-04
4-3,2025-05-05,2025-05-05 12:00:00,12,2025-05-05 12:10:00,2025-05-06 12:00:00,7891.019133754924,6000.0,0.0,forecast,1.0,35727.65448813427,39423.49625236711,False,2025-05-04
4-3,2025-05-05,2025-05-05 18:00:00,18,2025-05-05 18:10:00,2025-05-06 18:00:00,10210.56864698592,6000.0,0.0,forecast,1.0,29326.764228307136,32391.296753459705,False,2025-05-04
4-3,2025-05-06,2025-05-06 00:00:00,0,2025-05-06 00:10:00,2025-05-07 00:00:00,5609.755761944877,6000.0,1.4826622971668682e-08,forecast,1.0,33257.350652895395,36684.11603534548,False,2025-05-05
4-3,2025-05-06,2025-05-06 06:00:00,6,2025-05-06 06:10:00,2025-05-07 06:00:00,8819.320771961275,6000.0,5.092752906013269e-16,forecast,1.0,34653.553642749015,38551.458849324765,False,2025-05-05
4-3,2025-05-06,2025-05-06 12:00:00,12,2025-05-06 12:10:00,2025-05-07 12:00:00,6846.427628174428,6000.0,5.55305122422533e-16,forecast,1.0,45351.37710559186,50588.35738214852,False,2025-05-05
4-3,2025-05-06,2025-05-06 18:00:00,18,2025-05-06 18:10:00,2025-05-07 18:00:00,10634.047619787909,6000.0,3.380832452033824e-16,forecast,1.0,33539.49053049249,37394.37631095552,False,2025-05-05
4-3,2025-05-07,2025-05-07 00:00:00,0,2025-05-07 00:10:00,2025-05-08 00:00:00,5625.549683014611,6000.0,0.0,forecast,1.0,35745.226396781785,39417.629825171716,False,2025-05-06
4-3,2025-05-07,2025-05-07 06:00:00,6,2025-05-07 06:10:00,2025-05-08 06:00:00,9814.02007041349,6000.0,5.105641203302007e-16,forecast,1.0,36450.318215084684,40349.511843322434,False,2025-05-06
4-3,2025-05-07,2025-05-07 12:00:00,12,2025-05-07 12:10:00,2025-05-08 12:00:00,7592.8391213779405,6000.0,0.0,forecast,1.0,43653.88615647644,48501.645399306224,False,2025-05-06
4-3,2025-05-07,2025-05-07 18:00:00,18,2025-05-07 18:10:00,2025-05-08 18:00:00,10647.588293417244,6000.0,0.0,forecast,1.0,31505.04368233522,34868.87940181231,False,2025-05-06
4-3,2025-05-08,2025-05-08 00:00:00,0,2025-05-08 00:10:00,2025-05-09 00:00:00,5828.164164122829,6000.0,0.0,forecast,1.0,39406.07424315643,43988.80133900764,False,2025-05-07
4-3,2025-05-08,2025-05-08 06:00:00,6,2025-05-08 06:10:00,2025-05-09 06:00:00,10077.476851851852,6000.0,2.2191845096704154e-15,forecast,1.0,36227.340054965985,40609.00345049397,False,2025-05-07
4-3,2025-05-08,2025-05-08 12:00:00,12,2025-05-08 12:10:00,2025-05-09 12:00:00,9751.774712657698,6000.0,1.1084864398211308e-15,forecast,1.0,42421.04268461815,47812.59122782334,False,2025-05-07
4-3,2025-05-08,2025-05-08 18:00:00,18,2025-05-08 18:10:00,2025-05-09 18:00:00,10722.87884824942,6000.0,0.0,forecast,1.0,31308.56847039504,35554.41393773568,False,2025-05-07
