date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,initial_soc_kwh,terminal_soc_kwh
2025-07-23,77165.31663878413,77165.31663878413,0.0,0.0,19523.969943302167,15836.093451042896,1813.3239105005177,1074.2169403587118,56739.12961565296,0.0,14815.612834972178,71554.74245062514,6069.594715857972,6045.508274782262
2025-07-24,77870.71372363846,77870.71372363846,0.0,0.0,19926.586716629954,15876.495338530813,1363.7988814824403,1567.949227021758,57591.6785509996,0.0,11406.830131799501,68998.5086827991,6045.508274782262,6338.885943603877
2025-07-25,41166.752137704854,41166.752137704854,0.0,0.0,16705.42580073758,13824.947061323352,269.85610001098564,12050.80993163495,23201.0852755516,0.0,1612.8857117937237,24813.970987345325,6338.885943603877,6012.716873908421
2025-07-26,41585.77434408075,41585.77434408075,0.0,0.0,18935.76304329223,15388.394747773737,290.0960722450746,9859.41055414067,23395.619898947298,0.0,1722.480265603736,25118.100164551033,6012.716873908421,5956.687226456162
2025-07-27,76490.54418905926,76490.54418905926,0.0,0.0,21084.95928426617,16904.49012883437,2299.8202604782928,924.7054941057579,56555.98450037821,0.0,16756.956011676593,73312.9405120548,5956.687226456162,6150.383772479746
2025-07-28,76531.28793408284,76531.28793408284,0.0,0.0,18292.472979325215,14917.495387041838,5143.454419712227,344.8875281783569,56653.98057548414,0.0,42094.447412769456,98748.4279882536,6150.383772479746,6038.614579381509
2025-07-29,78364.33463057679,78364.33463057679,0.0,0.0,19722.735551464142,15646.267180683353,2157.8674225836967,376.48773237970954,57615.56558283745,0.0,17949.49976740818,75565.06535024563,6038.614579381509,6404.335263828847
2025-07-30,78640.55112327701,78640.55112327701,0.0,0.0,20622.809796490157,16889.80938713944,476.5361484582276,1280.8328123845233,58623.36404574586,0.0,3902.385712921575,62525.74975866743,6404.335263828847,6198.409206070602
2025-07-31,78622.7575415699,78622.7575415699,0.0,0.0,20608.80013598649,16691.956362987592,1172.4988865698867,1183.4163884742293,57307.579137541994,0.0,10095.805791366054,67403.38492890805,6198.409206070602,6199.711147361111
2025-08-01,40122.79864763411,40122.79864763411,0.0,0.0,17573.776583260213,14504.005356209656,387.8904343611596,16189.558188278048,22342.028904278617,0.0,2551.340609459862,24893.369513738482,6199.711147361111,5900.548565395688
2025-08-02,41028.02269677271,41028.02269677271,0.0,0.0,17664.953326066207,14171.528734804386,170.68217858390312,16778.255350761454,22430.471731434078,0.0,1055.163107730933,23485.63483916501,5900.548565395688,6052.863520183738
2025-08-03,75101.95285180809,75101.95285180809,0.0,0.0,18279.92709358252,15109.258888847413,308.76964527509665,9400.574309014755,53714.10172111259,0.0,2013.8037717450597,55727.905492857644,6052.863520183738,5716.732472355324
2025-08-04,72251.25874184033,72251.25874184033,0.0,0.0,18858.708651788587,15101.796077058129,35.75993333122619,3114.4510171077636,53013.15824147919,0.0,302.06415684886764,53315.22239832806,5716.732472355324,5909.796840011574
2025-08-05,72244.36175067056,72244.36175067056,0.0,0.0,20203.111969146208,16150.902218141986,0.0,3039.8422663330152,52681.945641109996,0.0,0.0,52681.945641109996,5909.796840011574,6147.150703196509
